Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1907-05-25	Malta & Dunkirk	Carib Prince		Jun 2, 1907	G. D. Kaniskeri	4342	bags	onions
1907-05-25	Malta & Dunkirk	Carib Prince		Jun 2, 1907	Bustros & Huri	1950	bags	onions
1907-05-25	Malta & Dunkirk	Carib Prince		Jun 2, 1907	G. M. Ades	1000	bags	onions
1907-05-25	Malta & Dunkirk	Carib Prince		Jun 2, 1907	L. Onofrio	700	bags	onions
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Birch & Co.	175	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	G. Riecken	245	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Mohr & Fenderl	100	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	J. Planta & Co.	228	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Schmid & Co.	50	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	W. Trapp & Co.	150	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	R. & O. Lindemann	347	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	J. Andres	15	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	H. Bindernagel	1010	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Carver Bros. & Co. Ltd.	1215	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Choremi, Benachi & Co.	1028	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	G. Frauger & Co.	707	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	F. C. Baines & Co.	3	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Peel & Co.	1279	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Ades & Co.	100	bales	cotton
1906-12-10	Malta & Dunkirk	Carib Prince		Jun 2, 1906	Fix & David	110	cases	eggs
